site	domain	alexia	similarweb	type	country
Google	google.com	1	2	Internet services and products	United States U.S.
YouTube	youtube.com	2	3	Video sharing	United States U.S.
Facebook	facebook.com	3	1	Social network	United States U.S.
Baidu	baidu.com	4	16	Search engine	China China
Yahoo!	yahoo.com	5	5	Portal and media	United States U.S.
Amazon	amazon.com	6	10	E-commerce and cloud computing	United States U.S.
Wikipedia	wikipedia.org	7	7	Encyclopedia	United States U.S.
Tencent QQ	qq.com	8	41	Portal	China China
Google India	google.co.in	9	14	Search engine	India India
Twitter	twitter.com	10	8	Social network	United States U.S.
Windows Live	live.com	11	9	Email, web services and software suite	United States U.S.
Taobao	taobao.com	12	50	Online shopping	China China
Google Japan	google.co.jp	13	21	Search engine	Japan Japan
Bing	bing.com	14	36	Search engine	United States U.S.
Instagram	instagram.com	15	6	Photo sharing and social media	United States U.S.
Sina Weibo	weibo.com	16	79	Social network	China China
Sina Corp	sina.com.cn	17	110	Portal and instant messaging	China China
LinkedIn	linkedin.com	18	42	Professional Social network	United States U.S.
Yahoo! Japan	yahoo.co.jp	19	28	Portal	Japan Japan
MSN	msn.com	20	27	Portal	United States U.S.
VK	vk.com	21	4	Social network	Russia Russia
Google Germany	google.de	22	20	Search engine	Germany Germany
Yandex	yandex.ru	23	12	Search engine	Russia Russia
Hao123	hao123.com	24	180	Web directories	China China
Google UK	google.co.uk	25	13	Search engine	United Kingdom UK
Reddit	reddit.com	26	26	social news networking, entertainment	United States U.S.
eBay	ebay.com	27	24	Online auctions and shopping	United States U.S.
Google France	google.fr	28	19	Search engine	France France
t.co	t.co	29	78	URL shortening for links on Twitter	United States U.S.
Tmall	tmall.com	30	92	Retail	China China
Google Brazil	google.com.br	31	11	Search engine	Brazil Brazil
360 Safeguard	360.cn	32	85	Internet security and anti-trojan software	China China
Sohu	sohu.com	33	204	Portal	China China
Amazon Japan	amazon.co.jp	34	63	E-commerce	Japan Japan
Pinterest	pinterest.com	35	43	Social media	United States U.S.
Mail.ru	mail.ru	36	18	Portal	Russia Russia
Onclickads	onclickads.net	37	N/A[notes 1]	Online advertising network	United States U.S.
Netflix	netflix.com	38	32	Streaming TV and movies	United States U.S.
Google Italy	google.it	39	29	Search engine	Italy Italy
Google Russia	google.ru	40	21	Search engine	Russia Russia
Microsoft	microsoft.com	41	57	Software and technology	United States U.S.
Google Spain	google.es	42	35	Search engine	Spain Spain
WordPress.com	wordpress.com	43	54	Blogging and social media	United States U.S.
Guangming Daily	gmw.cn	44	1568	Newspaper	China China
Tumblr	tumblr.com	45	34	Social media	United States U.S.
PayPal	PayPal.com	46	56	Payment system	United States U.S.
Blogspot	blogspot.com	47	450,370	Blogging	United States U.S.
Imgur	imgur.com	48	45	Image sharing	United States U.S.
Stack Overflow	stackoverflow.com	49	157	Question and answer site	United States U.S.
AliExpress	aliexpress.com	50	46	Online shopping	China China
Naver	Naver.com	51	51	Portal	South Korea Korea
Odnoklassniki	ok.ru	52	15	Social Networking	Russia Russia
Apple Inc.	apple.com	53	67	Technology and software	United States U.S.
GitHub	github.com	54	83	Source code hosting service	United States U.S.
Google Mexico	google.com.mx	55	31	Search Engine	Mexico Mexico
China Daily	chinadaily.com.cn	56	1064	Newspaper	China China
IMDb	imdb.com	58	47	Film, TV show, and video game database	United States U.S.
Google Korea	google.co.kr	59	177	Search Engine	South Korea Korea
FC2 Portal	fc2.com	61	82	Portal	Japan Japan
Jingdong Mall	jd.com	62	97	E-commerce	China China
Blogger	blogger.com	63	201	Blogging	United States U.S.
NetEase	163.com	64	96	Portal	China China
Google Canada	google.ca	65	33	Search engine	Canada Canada
Google Hong Kong	google.com.hk	66	138	Search engine	Hong Kong Hong Kong
WhatsApp	whatsapp.com	68	60	Instant Messaging	United States U.S.
Amazon India	amazon.in	69	126	E-commerce	India India
Microsoft Office	office.com	70	84	Online Office Suite	United States U.S.
Google Turkey	google.com.tr	71	25	Search engine	Turkey Turkey
Tianya Club	tianya.cn	72	624	Internet forum	China China
Google Indonesia	google.co.id	73	48	Search engine	Indonesia Indonesia
Youku	youku.com	74	181	Video sharing	China China
Rakuten	rakuten.co.jp	75	89	E-commerce	Japan Japan
Craigslist	craigslist.org	76	38	Classified advertising	United States U.S.
Amazon Germany	amazon.de	77	55	E-commerce	Germany Germany
Nicovideo	nicovideo.jp	79	99	Video sharing	Japan Japan
Google Poland	google.pl	80	30	Search engine	Poland Poland
Soso.com	soso.com	81	98,882	Search engine	China China
Bilibili	bilibili.com	82	175	Video sharing	China China
Dropbox	dropbox.com	83	76	File hosting service	United States U.S.
Xinhua News Agency	xinhuanet.com	84	1757	News	China China
Outbrain	outbrain.com	85	176	Content marketing	United States U.S.
Pixnet	pixnet.net	86	322	Social network, photo sharing, blogging	Taiwan Taiwan
Alibaba Group	alibaba.com	87	66	E-commerce and portal	China China
Alipay	alipay.com	88	251	Payment system	China China
Microsoft Online	microsoftonline.com	89	103	Software as a service	United States U.S.
Google Taiwan	google.com.tw	90	73	Search engine	Taiwan Taiwan
Booking.com	booking.com	91	59	Booking engine	Netherlands Netherlands
Google file storage	googleusercontent.com	92	N/A[notes 1]	File hosting service	United States U.S.
Google Australia	google.com.au	93	44	Search Engine	Australia Australia
PopAds	popads.net	94	N/A[notes 1]	Pop-up advertising	Costa Rica Costa Rica
CNTV	cntv.cn	95	3997	Television	China China
Zhihu	zhihu.com	96	208	Question and answer site	China China
Amazon UK	amazon.co.uk	97	58	E-commerce	United Kingdom UK
Diply	diply.com	98	458	Entertainment	Canada Canada
Cốc Cốc	coccoc.com	99	342	Search engine and web browser	Vietnam Vietnam
CNN	cnn.com	100	94	News	United States U.S.
BBC	bbc.co.uk	101	70	News	United Kingdom U.K.
Twitch	twitch.tv	102	80	Livestreams	United States U.S.
Wikia	wikia.com	103	68	Wikis	United States U.S.
Google Thailand	google.co.th	111	52	Search engine	Thailand Thailand
Google Argentina	google.com.ar	112	49	Search engine	Argentina Argentina
Go.com	go.com	118	90	Disney portal	United States U.S.
Google Netherlands	google.nl	119	61	Search engine	Netherlands Netherlands
eBay UK	ebay.co.uk	127	65	E-commerce	United Kingdom U.K.
KickassTorrents	kat.cr	137	77	Torrents	Costa Rica Costa Rica
Grupo Globo	globo.com	155	62	Search engine	Brazil Brazil
Google Ukraine	google.com.ua	163	71	Search engine	Ukraine Ukraine
Universo Online	uol.com.br	167	64	Portal	Brazil Brazil
Avito	avito.ru	170	98	E-commerce	Russia Russia
Google Colombia	google.com.co	182	75	Search engine	Colombia Colombia
Google Vietnam	google.com.vn	209	53	Search engine	Vietnam Vietnam
Google Philippines	google.com.ph	214	72	Search engine	 Philippines
DoubleClick	doubleclick.net	234	69	Ad serving	United States U.S.
Onet.pl	onet.pl	261	91	Web portal	Poland Poland
Google Ad Services	googleadservices.com	1319	40	Advertising	United States U.S.
AccuWeather	accuweather.com	331	81	Weather forecasting	United States U.S.
Google Web Light	googleweblight.com	30447	74	Webpage transcoder for slow connections	United States U.S.
Yahoo Answers	answers.yahoo.com	N/A[notes 2]	87	Question and answer site	United States U.S.
